RunTime:graph_10000_1000000:18615,RunTime:graph_10000_1000000:17990,RunTime:graph_10000_1000000:18530,RunTime:graph_10000_1000000:19163,RunTime:graph_10000_1000000:18698
RunTime:graph_10000_10000000:21802,RunTime:graph_10000_10000000:22411,RunTime:graph_10000_10000000:21831,RunTime:graph_10000_10000000:21990,RunTime:graph_10000_10000000:22584
RunTime:graph_100k_20m:28438,RunTime:graph_100k_20m:27787,RunTime:graph_100k_20m:28270,RunTime:graph_100k_20m:28180,RunTime:graph_100k_20m:28973
