RunTime:graph_10000_1000000:5459,RunTime:graph_10000_1000000:5275,RunTime:graph_10000_1000000:5190,RunTime:graph_10000_1000000:5265,RunTime:graph_10000_1000000:4863
RunTime:graph_10000_10000000:7342,RunTime:graph_10000_10000000:7496,RunTime:graph_10000_10000000:7201,RunTime:graph_10000_10000000:7063,RunTime:graph_10000_10000000:7387
RunTime:graph_100k_20m:12295,RunTime:graph_100k_20m:12039,RunTime:graph_100k_20m:12310,RunTime:graph_100k_20m:11722,RunTime:graph_100k_20m:12172
