RunTime:graph_10000_1000000:9548,RunTime:graph_10000_1000000:9580,RunTime:graph_10000_1000000:9648,RunTime:graph_10000_1000000:9490,RunTime:graph_10000_1000000:9194
RunTime:graph_10000_10000000:12411,RunTime:graph_10000_10000000:12644,RunTime:graph_10000_10000000:12200,RunTime:graph_10000_10000000:12212,RunTime:graph_10000_10000000:12192
RunTime:graph_100k_20m:16611,RunTime:graph_100k_20m:18181,RunTime:graph_100k_20m:16527,RunTime:graph_100k_20m:17538,RunTime:graph_100k_20m:17042
