1	0.293420,1	0.288763,1	0.285342,1	0.296652,1	0.290754
2	0.150208,2	0.162441,2	0.154983,2	0.166783,2	0.161101
4	0.094023,4	0.091874,4	0.093575,4	0.095933,4	0.095697
8	0.054374,8	0.072948,8	0.054812,8	0.056093,8	0.053685
16	0.053995,16	0.070000,16	0.052986,16	0.051697,16	0.054528
32	0.042807,32	0.037652,32	0.041446,32	0.040234,32	0.043222
1	2.130716,1	1.966764,1	2.143703,1	1.919574,1	1.992869
2	1.182835,2	1.121425,2	1.140883,2	1.107231,2	1.117318
4	0.664014,4	0.672920,4	0.665489,4	0.707040,4	0.613855
8	0.348636,8	0.383102,8	0.344335,8	0.392488,8	0.360729
16	0.295592,16	0.312317,16	0.308078,16	0.316504,16	0.306100
32	0.196993,32	0.190734,32	0.189884,32	0.177453,32	0.187844
1	5.234588,1	4.324302,1	4.362406,1	4.654169,1	4.196198
2	3.029614,2	2.769981,2	3.105322,2	3.083377,2	2.642619
4	1.772203,4	1.321035,4	1.802325,4	1.738009,4	1.864171
8	0.877931,8	0.778885,8	0.918102,8	0.972468,8	0.883853
16	0.699723,16	0.653243,16	0.703070,16	0.697914,16	0.754102
32	0.361998,32	0.371074,32	0.371004,32	0.398589,32	0.369003
