RunTime:graph_10000_1000000:4200,RunTime:graph_10000_1000000:4172,RunTime:graph_10000_1000000:4328,RunTime:graph_10000_1000000:4352,RunTime:graph_10000_1000000:4133
RunTime:graph_10000_10000000:8276,RunTime:graph_10000_10000000:7727,RunTime:graph_10000_10000000:8550,RunTime:graph_10000_10000000:8207,RunTime:graph_10000_10000000:8046
RunTime:graph_100k_20m:14083,RunTime:graph_100k_20m:13974,RunTime:graph_100k_20m:14103,RunTime:graph_100k_20m:15504,RunTime:graph_100k_20m:14152
