RunTime:graph_10000_1000000:13328,RunTime:graph_10000_1000000:13318,RunTime:graph_10000_1000000:13344,RunTime:graph_10000_1000000:13633,RunTime:graph_10000_1000000:13950
RunTime:graph_10000_10000000:15827,RunTime:graph_10000_10000000:15724,RunTime:graph_10000_10000000:15917,RunTime:graph_10000_10000000:16046,RunTime:graph_10000_10000000:15508
RunTime:graph_100k_20m:21379,RunTime:graph_100k_20m:21481,RunTime:graph_100k_20m:22110,RunTime:graph_100k_20m:21373,RunTime:graph_100k_20m:21639
