RunTime:graph_10000_1000000:8031,RunTime:graph_10000_1000000:7849,RunTime:graph_10000_1000000:8125,RunTime:graph_10000_1000000:7866,RunTime:graph_10000_1000000:7645
RunTime:graph_10000_10000000:10300,RunTime:graph_10000_10000000:9619,RunTime:graph_10000_10000000:10046,RunTime:graph_10000_10000000:9980,RunTime:graph_10000_10000000:9655
RunTime:graph_100k_20m:14756,RunTime:graph_100k_20m:14994,RunTime:graph_100k_20m:15005,RunTime:graph_100k_20m:14881,RunTime:graph_100k_20m:15422
