1	0.297190,1	0.287602,1	0.286019,1	0.262991,1	0.285148
2	0.177317,2	0.180798,2	0.175222,2	0.173773,2	0.175134
4	0.153809,4	0.147095,4	0.145134,4	0.155647,4	0.146571
8	0.091342,8	0.094596,8	0.089481,8	0.087837,8	0.086603
16	0.054971,16	0.053193,16	0.053556,16	0.056011,16	0.054462
32	0.044940,32	0.045225,32	0.042220,32	0.044133,32	0.042371
1	2.171124,1	2.169361,1	2.106139,1	2.177651,1	1.977039
2	1.181477,2	1.222872,2	1.276784,2	1.178290,2	1.197062
4	0.970645,4	1.005038,4	0.985992,4	0.997624,4	0.984814
8	0.550597,8	0.546612,8	0.543845,8	0.548572,8	0.546885
16	0.292649,16	0.299175,16	0.300618,16	0.301418,16	0.302464
32	0.183647,32	0.187215,32	0.198202,32	0.192706,32	0.182903
1	4.311294,1	4.330786,1	4.518620,1	4.636250,1	4.313773
2	3.037922,2	3.076158,2	2.482921,2	2.930647,2	2.726444
4	2.231925,4	2.082235,4	2.123572,4	2.148995,4	2.081237
8	1.128948,8	1.175082,8	1.186489,8	1.223216,8	1.141477
16	0.637772,16	0.636536,16	0.633776,16	0.638937,16	0.685732
32	0.352444,32	0.360150,32	0.350731,32	0.346828,32	0.362268
