RunTime:graph_10000_1000000:3999,RunTime:graph_10000_1000000:4037,RunTime:graph_10000_1000000:3961,RunTime:graph_10000_1000000:3985,RunTime:graph_10000_1000000:4143
RunTime:graph_10000_10000000:9843,RunTime:graph_10000_10000000:10494,RunTime:graph_10000_10000000:10097,RunTime:graph_10000_10000000:10147,RunTime:graph_10000_10000000:10361
RunTime:graph_100k_20m:18372,RunTime:graph_100k_20m:20140,RunTime:graph_100k_20m:17610,RunTime:graph_100k_20m:18319,RunTime:graph_100k_20m:17867
