RunTime:graph_10000_1000000:7058,RunTime:graph_10000_1000000:6702,RunTime:graph_10000_1000000:6807,RunTime:graph_10000_1000000:6805,RunTime:graph_10000_1000000:6765
RunTime:graph_10000_10000000:8959,RunTime:graph_10000_10000000:9373,RunTime:graph_10000_10000000:9108,RunTime:graph_10000_10000000:9015,RunTime:graph_10000_10000000:9527
RunTime:graph_100k_20m:13563,RunTime:graph_100k_20m:13621,RunTime:graph_100k_20m:13266,RunTime:graph_100k_20m:13791,RunTime:graph_100k_20m:13371
