RunTime:graph_10000_1000000:4619,RunTime:graph_10000_1000000:4494,RunTime:graph_10000_1000000:4652,RunTime:graph_10000_1000000:4278,RunTime:graph_10000_1000000:4754
RunTime:graph_10000_10000000:14873,RunTime:graph_10000_10000000:15106,RunTime:graph_10000_10000000:15728,RunTime:graph_10000_10000000:14035,RunTime:graph_10000_10000000:14952
RunTime:graph_100k_20m:27507,RunTime:graph_100k_20m:28115,RunTime:graph_100k_20m:27137,RunTime:graph_100k_20m:30092,RunTime:graph_100k_20m:27696
