1	0.293007,1	0.207788,1	0.259716,1	0.276858,1	0.288596
2	0.150373,2	0.154229,2	0.154739,2	0.165948,2	0.163992
4	0.096497,4	0.092027,4	0.091783,4	0.091716,4	0.095108
8	0.054706,8	0.054979,8	0.055075,8	0.054461,8	0.071640
16	0.052315,16	0.052957,16	0.052421,16	0.052379,16	0.050320
32	0.042687,32	0.037220,32	0.042387,32	0.044231,32	0.040916
1	2.188911,1	2.008085,1	1.987982,1	2.318396,1	1.993888
2	1.190473,2	1.261723,2	1.286573,2	1.301045,2	1.294030
4	0.626066,4	0.710086,4	0.655001,4	0.704695,4	0.712209
8	0.345667,8	0.389951,8	0.357631,8	0.358902,8	0.381989
16	0.289399,16	0.302940,16	0.288363,16	0.325529,16	0.290939
32	0.174582,32	0.191944,32	0.174624,32	0.190995,32	0.185192
1	4.239014,1	4.314815,1	4.457629,1	4.305167,1	4.682572
2	2.545573,2	2.254810,2	2.658885,2	3.092724,2	2.744111
4	1.421313,4	1.444731,4	1.274096,4	1.717007,4	1.642137
8	0.779178,8	0.801270,8	0.791778,8	0.936526,8	0.937668
16	0.614002,16	0.620821,16	0.617994,16	0.669183,16	0.642563
32	0.344651,32	0.386732,32	0.385637,32	0.393532,32	0.361472
