RunTime:graph_10000_1000000:5176,RunTime:graph_10000_1000000:5264,RunTime:graph_10000_1000000:5107,RunTime:graph_10000_1000000:5593,RunTime:graph_10000_1000000:5077
RunTime:graph_10000_10000000:20030,RunTime:graph_10000_10000000:20018,RunTime:graph_10000_10000000:24248,RunTime:graph_10000_10000000:20702,RunTime:graph_10000_10000000:20576
RunTime:graph_100k_20m:39499,RunTime:graph_100k_20m:45908,RunTime:graph_100k_20m:45823,RunTime:graph_100k_20m:40941,RunTime:graph_100k_20m:41809
